source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,ph_qual,tmass_oid,designation,ra2,dec2,err_maj,err_min,err_ang,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,ext_key,j_date,angular_distance
608005122429028608,131.95130348161507,12.274922260724779,3.7537805179693535,-33.6435582741948,-53.39137070448441,13.233224868774414,1.1101980209350586,AAA,330113802,08474835+1216307,131.951474,12.275197,0.07000000029802322,0.05999999865889549,90,11.802000045776367,0.02199999988079071,11.32699966430664,0.027000000700354576,11.26099967956543,0.020999999716877937,,2451115.0061,0.07521161437034607
605008682661424384,132.98061034433417,12.290505727111585,2.179478751407887,-5.984430768079532,-5.257181528977571,10.772595405578613,0.6444797515869141,AAA,330159059,08515536+1217258,132.980678,12.290514,0.09000000357627869,0.05999999865889549,0,9.968000411987305,0.020999999716877937,9.78499984741211,0.02199999988079071,9.675999641418457,0.017999999225139618,,2450767.9975,0.1451265513896942
605025244055310720,132.905217488189,12.473816828216577,1.5095165507281494,4.307371580636671,-18.134096324565213,13.448203086853027,0.8477792739868164,AAA,330699345,08513724+1228260,132.905193,12.473894,0.07000000029802322,0.07000000029802322,0,12.319000244140625,0.020999999716877937,11.968999862670898,0.020999999716877937,11.944000244140625,0.017999999225139618,,2450767.9963,0.05152822658419609
608026528546174720,132.50275671525685,12.506953522962577,2.4913846410945153,-16.384988604466244,-30.156120160412847,12.179083824157715,0.7446994781494141,AAA,330797663,08500068+1230257,132.50285,12.507142,0.05999999865889549,0.05999999865889549,0,11.241999626159668,0.020999999716877937,10.937999725341797,0.014000000432133675,10.942999839782715,0.017000000923871994,,2450767.9782,0.13542431592941284
608030587290798464,132.76242825777254,12.548251698728928,5.084512076625216,-36.30457363220512,28.961114613613958,10.26648998260498,0.6796541213989258,AAA,330919125,08510303+1232531,132.762661,12.548089,0.07000000029802322,0.07000000029802322,90,9.22599983215332,0.020999999716877937,8.991000175476074,0.02199999988079071,8.918999671936035,0.017000000923871994,,2450767.988,0.1709059327840805
605125089159188352,133.0632689339137,12.654780615272566,3.1409804542707147,-9.780170782355762,-1.627816698972091,10.367642402648926,0.6920509338378906,AAA,331235216,08521519+1239172,133.063317,12.654788,0.07000000029802322,0.05999999865889549,0,9.50100040435791,0.020999999716877937,9.265999794006348,0.024000000208616257,9.206000328063965,0.020999999716877937,,2450767.9977,0.008944862522184849
598668348859510912,132.80668981602963,10.996230533439991,0.7912485314677228,-3.901542908424952,-3.8837524624056847,13.243391990661621,0.6475076675415039,AAA,326288303,08511361+1059465,132.806741,10.996257,0.07999999821186066,0.05999999865889549,0,12.383999824523926,0.023000000044703484,12.199000358581543,0.019999999552965164,12.1899995803833,0.020999999716877937,,2450768.9539,0.11294115334749222
608049347707952768,132.57183616210656,12.743737102879093,1.110754706642495,-4.059413454360036,-2.4554988854638693,13.516563415527344,0.6777143478393555,AAA,331498909,08501724+1244375,132.571852,12.743764,0.07000000029802322,0.05999999865889549,7,12.66100025177002,0.01899999938905239,12.38700008392334,0.023000000044703484,12.366000175476074,0.02199999988079071,,2450767.9784,0.055319517850875854
598848256449732352,132.28771386209303,11.032818658306947,1.2751114115045072,-9.237790928330458,-4.834680436626712,12.758054733276367,0.6800060272216797,AAA,326395819,08490906+1101582,132.28776,11.032839,0.10999999940395355,0.07000000029802322,90,11.866999626159668,0.02199999988079071,11.630999565124512,0.019999999552965164,11.609999656677246,0.019999999552965164,,2450768.9266,0.015056545846164227
604629248070309248,133.45876229017983,11.097317874138085,1.2005180246542753,-10.927040164274146,-2.3088371852537586,12.874134063720703,0.7593469619750977,AAA,326584880,08535011+1105503,133.458793,11.097332,0.07999999821186066,0.05999999865889549,0,11.895999908447266,0.02500000037252903,11.668000221252441,0.028999999165534973,11.550000190734863,0.020999999716877937,,2451586.8595,0.06661803275346756
